"Location","sd_pe","mape","mpe"
"National",0.888843228907635,0.409254759632026,0.0864154856550294
"East South Central",2.82007009200573,1.72226801440285,0.602997774484045
"Pacific",1.7390137555068,1.38862120338931,0.171004761312042
"Mountain",3.07151046503438,2.21497887352227,0.296511151523811
"West South Central",2.33065015157351,1.71806962435897,0.0522061162728096
"New England",2.9851929176539,2.86845715417144,-0.778612395704467
"South Atlantic",1.72994389687966,1.28127410619839,0.579470626678924
"East North Central",1.21136168758716,0.6555852762186,0.20053933475294
"West North Central",1.94971132412107,1.54280988892071,-1.02790992515024e-14
"Middle Atlantic",2.00516820054158,1.23359071119486,0
"Alabama",4.01594844478136,4.77982319394422,4.77982319394422
"Alaska",11.5610290171234,11.2987012987013,11.2987012987013
"Arizona",5.61443277191648,4.53826967281264,4.53826967281264
"Arkansas",6.95459156436118,5.6477007241014,5.6477007241014
"California",1.35758468905026,1.73231186518929,1.73231186518929
"Colorado",2.80199580912576,3.068352109448,3.068352109448
"Connecticut",2.65510276832683,2.50108730636346,2.50108730636346
"Delaware",5.73434830892029,6.25,6.25
"District of Columbia",18.3394024896211,10.4318767934329,10.4318767934329
"Florida",2.04696497622912,3.37846677132391,3.37846677132391
"Georgia",2.73349616359734,3.52338482773265,3.52338482773265
"Hawaii",9.25737262321826,5.88235294117647,5.88235294117647
"Idaho",8.2962311178613,7.01530612244898,7.01530612244898
"Illinois",1.87596592470392,2.29806281690889,2.29806281690889
"Indiana",1.97399057709995,2.19351168008559,2.19351168008559
"Iowa",6.65851782822235,8.38509316770186,8.38509316770186
"Kansas",5.60007208668661,5.54889167792394,5.54889167792394
"Kentucky",3.71017393712146,3.31587230787573,3.31587230787573
"Louisiana",3.22322158681104,3.58900493013215,3.58900493013215
"Maine",6.52969718271568,5.22556390977444,5.22556390977444
"Maryland",2.32739512158201,2.52033847022067,2.52033847022067
"Massachusetts",3.22733784361412,4.31614743030464,4.31614743030464
"Michigan",1.58130031646352,2.00157736999842,2.00157736999842
"Minnesota",2.78529362653023,3.65995373350666,3.65995373350666
"Mississippi",6.8593163837024,9.83336083154595,9.83336083154595
"Missouri",1.87524520388057,1.61858304297329,1.61858304297329
"Montana",20.4854452236612,11.4285714285714,11.4285714285714
"Nebraska",19.4731066826557,8.56643356643356,8.56643356643356
"Nevada",6.31377325464116,4.62750484809308,4.62750484809308
"New Hampshire",6.39597528442246,8.09675221439927,8.09675221439927
"New Jersey",2.15938667537309,2.19223341429203,2.19223341429203
"New Mexico",4.19976215362957,3.75578802949751,3.75578802949751
"New York",1.91425782379267,2.40100165415597,2.40100165415597
"North Carolina",2.69556097884127,2.98052356348306,2.98052356348306
"North Dakota",34.5573897155903,16.6666666666667,16.6666666666667
"Ohio",1.13833077821964,1.12286890064668,1.12286890064668
"Oklahoma",3.9311470316162,2.06511175898931,2.06511175898931
"Oregon",3.55510534858531,2.9921059332824,2.9921059332824
"Pennsylvania",1.7053063274591,1.95360195360195,1.95360195360195
"Rhode Island",9.23413042868256,8.93812070282659,8.93812070282659
"South Carolina",3.99371174251562,3.52646321686569,3.52646321686569
"South Dakota",21.1790581084366,24.1341991341991,24.1341991341991
"Tennessee",2.51989873540802,1.95702576157547,1.95702576157547
"Texas",1.4215944819787,2.62984001181316,2.62984001181316
"Utah",7.78583695394527,8.10090057740159,8.10090057740159
"Vermont",18.3623662974256,11.5079365079365,11.5079365079365
"Virginia",2.46663846839925,1.72952142051272,1.72952142051272
"Washington",2.19512090338203,2.1193765827987,2.1193765827987
"West Virginia",4.88639727778784,4.11231175019144,4.11231175019144
"Wisconsin",3.43135896851282,3.15802592549462,3.15802592549462
"Wyoming",29.4819122691849,20,20
